AccountNo,KidESysBalance,EduClearBalance,Difference
ADA004,-50.00,-50.00,0.00
AFR002,-130.00,-4480.00,-4350.00
ALI002,4000.00,4000.00,0.00
BAN001,0.00,0.00,0.00
BOG005,0.00,0.00,0.00
BUY001,0.00,0.00,0.00
CET001,2550.00,2550.00,0.00
CHI002,0.00,0.00,0.00
CHI005,1400.00,-4600.00,-6000.00
DHL002,4730.00,4730.00,0.00
DIA003,-1000.00,-1000.00,0.00
DIA006,0.00,0.00,0.00
DIK001,500.00,500.00,0.00
DIK003,0.00,0.00,0.00
DIK004,0.00,-4250.00,-4250.00
DIM002,11900.00,11900.00,0.00
DIN002,0.00,-6900.00,-6900.00
DIR001,-16800.00,-16800.00,0.00
FRE001,9500.00,9500.00,0.00
GAA001,-100.00,-100.00,0.00
GAE001,3100.00,3100.00,0.00
GAE002,20.00,20.00,0.00
GEB002,3700.00,3700.00,0.00
GOI001,700.00,700.00,0.00
GOV001,0.00,0.00,0.00
HAI002,0.00,-8400.00,-8400.00
HAM002,10050.00,10050.00,0.00
HKA001,700.00,-2300.00,-3000.00
HLA001,700.00,700.00,0.00
HOB001,2650.00,2650.00,0.00
HOM001,700.00,-2300.00,-3000.00
JAM001,-700.00,-700.00,0.00
JAN003,3000.00,3000.00,0.00
JEC002,-1035.00,-1035.00,0.00
KAL001,1800.00,1800.00,0.00
KAL002,4700.00,4700.00,0.00
KAT002,10400.00,10400.00,0.00
KEK003,-1800.00,-6000.00,-4200.00
KEM002,1400.00,1400.00,0.00
KER001,0.00,-3000.00,-3000.00
KGA004,-36090.00,-36090.00,0.00
KGO002,696.00,696.00,0.00
KGO003,0.00,0.00,0.00
KHU006,0.00,0.00,0.00
KHU007,900.00,900.00,0.00
KIN001,200.00,200.00,0.00
KOB001,-1350.00,-1350.00,0.00
KOB002,700.00,-2300.00,-3000.00
KOR001,6860.00,6860.00,0.00
LAN002,0.00,0.00,0.00
LEG001,-2500.00,-2500.00,0.00
LEG003,4350.00,4350.00,0.00
LEK003,2200.00,2200.00,0.00
LEK007,-1350.00,-5350.00,-4000.00
LEK008,0.00,0.00,0.00
LEP003,-2100.00,-2100.00,0.00
LER002,-150.00,-150.00,0.00
LET009,-20300.00,-20300.00,0.00
LET012,0.00,0.00,0.00
LET013,3450.00,-700.00,-4150.00
MAB004,700.00,700.00,0.00
MAB005,3000.00,3000.00,0.00
MAB008,-500.00,-500.00,0.00
MAB011,0.00,0.00,0.00
MAF003,0.00,0.00,0.00
MAG006,-200.00,-200.00,0.00
MAG007,-26901.00,-26901.00,0.00
MAH007,0.00,0.00,0.00
MAK013,10750.00,10750.00,0.00
MAK014,950.00,950.00,0.00
MAK019,0.00,-3300.00,-3300.00
MAK020,-130.00,-130.00,0.00
MAK022,-5150.00,-5150.00,0.00
MAK023,6200.00,6200.00,0.00
MAK024,700.00,-2300.00,-3000.00
MAK025,-10320.00,-10320.00,0.00
MAL006,-700.00,-700.00,0.00
MAL018,50.00,50.00,0.00
MAL019,640.00,640.00,0.00
MAL022,0.00,-3550.00,-3550.00
MAM004,1500.00,1500.00,0.00
MAM005,-800.00,-2800.00,-2000.00
MAM007,0.00,0.00,0.00
MAN010,4600.00,4600.00,0.00
MAN011,0.00,0.00,0.00
MAN012,-50250.00,-51900.00,-1650.00
MAN013,0.00,-2800.00,-2800.00
MAO001,-700.00,-700.00,0.00
MAO002,1400.00,-4400.00,-5800.00
MAP001,4800.00,4800.00,0.00
MAP006,1000.00,1000.00,0.00
MAP008,1400.00,-5400.00,-6800.00
MAR005,0.00,0.00,0.00
MAR008,0.00,0.00,0.00
MAR009,0.00,0.00,0.00
MAS001,-19510.00,-19510.00,0.00
MAS012,0.00,0.00,0.00
MAS017,0.00,0.00,0.00
MAS021,0.00,0.00,0.00
MAS024,0.00,0.00,0.00
MAS028,-700.00,-700.00,0.00
MAS031,900.00,-2900.00,-3800.00
MAT010,1400.00,1400.00,0.00
MAT016,1900.00,1900.00,0.00
MAT020,0.00,0.00,0.00
MAT022,3100.00,3100.00,0.00
MAT024,0.00,0.00,0.00
MAT031,0.00,0.00,0.00
MBO004,0.00,0.00,0.00
MDU001,3000.00,3000.00,0.00
MDU002,-130.00,-7230.00,-7100.00
MEK003,700.00,700.00,0.00
MET001,0.00,-4150.00,-4150.00
MET002,-13650.00,-13650.00,0.00
MFE002,11000.00,11000.00,0.00
MFU002,3400.00,3400.00,0.00
MIR001,0.00,0.00,0.00
MKA001,1400.00,1400.00,0.00
MKH002,700.00,700.00,0.00
MKH005,2300.00,2300.00,0.00
MKH006,0.00,-3550.00,-3550.00
MKH007,700.00,-2300.00,-3000.00
MLA002,0.00,0.00,0.00
MOA006,0.00,-5800.00,-5800.00
MOA007,700.00,-2300.00,-3000.00
MOD004,0.00,0.00,0.00
MOD005,750.00,750.00,0.00
MOD006,-320.00,-320.00,0.00
MOD010,2000.00,2000.00,0.00
MOD012,0.00,0.00,0.00
MOD014,0.00,0.00,0.00
MOD015,0.00,-3700.00,-3700.00
MOD017,0.00,-700.00,-700.00
MOD018,0.00,-3500.00,-3500.00
MOD019,900.00,900.00,0.00
MOE003,2800.00,2800.00,0.00
MOE004,-100.00,-100.00,0.00
MOE006,-500.00,-500.00,0.00
MOE009,0.00,0.00,0.00
MOE010,-15700.00,-15700.00,0.00
MOE011,0.00,0.00,0.00
MOF002,-700.00,-700.00,0.00
MOG001,-500.00,-500.00,0.00
MOG013,3450.00,3450.00,0.00
MOG017,-5750.00,-5750.00,0.00
MOG018,0.00,0.00,0.00
MOI002,-1200.00,-1200.00,0.00
MOK019,0.00,0.00,0.00
MOK020,700.00,700.00,0.00
MOK028,0.00,0.00,0.00
MOK033,2650.00,2650.00,0.00
MOK034,0.00,0.00,0.00
MOK035,1400.00,-4400.00,-5800.00
MOK036,900.00,900.00,0.00
MOK037,-13850.00,-13850.00,0.00
MOK038,5520.00,5520.00,0.00
MOK040,2900.00,100.00,-2800.00
MOL003,4500.00,4500.00,0.00
MOL010,700.00,700.00,0.00
MOL017,-1300.00,-1300.00,0.00
MOL019,-34500.00,-34500.00,0.00
MOL020,700.00,700.00,0.00
MOL039,-100.00,-100.00,0.00
MOL043,0.00,-3350.00,-3350.00
MOL044,3450.00,3450.00,0.00
MON006,1400.00,1400.00,0.00
MON012,0.00,0.00,0.00
MON013,0.00,-3550.00,-3550.00
MON014,0.00,0.00,0.00
MOO003,0.00,0.00,0.00
MOO004,0.00,0.00,0.00
MOO005,4300.00,4300.00,0.00
MOO006,-100.00,-100.00,0.00
MOP003,3750.00,3750.00,0.00
